Country Name,Avg. CO2 Per Capita (metric tons),Latitude (generated),Longitude (generated)
Zimbabwe,1.228626644,-19.098,30.047
Zambia,0.495171838,-15.13,25.268
"Yemen, Rep.",0.737396160,15.569,47.793
West Bank and Gaza,0.471235492,32.097,35.26
Virgin Islands (U.S.),,17.7289,-64.7592
Vietnam,0.598828599,21.75,105.373
"Venezuela, RB",5.959300512,6.983,-64.588
Vanuatu,0.517542261,-15.339,166.89
Uzbekistan,4.623480745,41.757,63.958
Uruguay,1.742226197,-32.948,-56.249
United States,19.303472468,40.0792,-98.8164
United Kingdom,10.004064578,52.289,-1.259
United Arab Emirates,31.844876769,23.9299,53.9031
Ukraine,7.434661212,49.364,32.132
Uganda,0.073732513,1.9392,32.7415
Tuvalu,,-7.4786,178.6758
Turks and Caicos Islands,3.412093826,21.7779,-71.7592
Turkmenistan,8.943358767,39.584,59.597
Turkey,2.310214480,39.144,34.188
Tunisia,1.482407314,35.594,9.421
Trinidad and Tobago,15.802070861,10.4435,-61.2604
Tonga,0.630603067,-21.167,-175.19
Togo,0.197677712,7.7,1.106
Timor-Leste,0.177335744,-8.856,125.556
Thailand,1.726478176,15.688,100.845
Tanzania,0.114896313,-5.651,34.146
Tajikistan,0.459464390,38.367,72.597
Syrian Arab Republic,2.300492815,35.303,38.322
Switzerland,5.790822217,46.7794,8.0329
Sweden,7.445082699,66.2188,19
Swaziland,0.673353570,-26.5203,31.4607
Suriname,4.433512419,4.248,-55.848
Sudan,0.220260165,15.739,29.533
St. Vincent and the Grenadines,0.870765027,13.2528,-61.1949
St. Martin (French part),,18.0848,-63.0507
St. Lucia,1.248185758,13.909,-60.9776
St. Kitts and Nevis,1.927435056,17.147,-62.58
Sri Lanka,0.349228667,7.3,80.727
Spain,5.214175224,40.617,-3.388
South Sudan,,7.1,30.48
South Africa,8.230187181,-31.7,23.441
Somalia,0.073686110,2.875,43.446
Solomon Islands,0.376284472,-9.5987,160.1487
Slovenia,7.555422881,46.037,14.534
Slovak Republic,7.279811053,48.8595,19.4434
Sint Maarten (Dutch part),,18.034,-63.0544
Singapore,9.478578218,1.3389,103.8297
Sierra Leone,0.160519813,8.677,-11.779
Seychelles,3.217774378,-4.6841,55.4924
Serbia,6.797201006,44.021,20.699
Senegal,0.413584693,15.044,-15.081
Saudi Arabia,11.862319293,24.191,44.32
Sao Tome and Principe,0.359986750,0.216,6.595
San Marino,,43.942,12.4611
Samoa,0.612592631,-13.6221,-172.439
Rwanda,0.059134171,-1.887,29.904
Russian Federation,11.405199179,64.736,104.062
Romania,5.953089933,45.933,25.119
Qatar,54.423340738,25.3174,51.1522
Puerto Rico,,18.242,-66.643
Portugal,3.541483604,40.957,-7.9373
Poland,9.460712063,52.442,19.72
Philippines,0.717992895,17.181,121.256
Peru,1.199520956,-12.664,-72.98
Paraguay,0.505863506,-23.266,-58.409
Papua New Guinea,0.487171977,-5.636,142.798
Panama,1.621008236,8.348,-81.005
Palau,9.896794932,7.5288,134.5573
Pakistan,0.574625257,28.1854,66.6429
Oman,7.197756353,19.85,56.25
Norway,7.677907715,61.3701,9.3031
Northern Mariana Islands,,15.1905,145.7471
Nigeria,0.557532444,9.3417,7.678
Niger,0.077331337,16.996,9.915
Nicaragua,0.629012850,12.692,-85.03
New Zealand,6.634526284,-42.558,172.377
New Caledonia,12.206464258,-21.02,165.062
Netherlands,10.301646709,52.1704,5.0102
Nepal,0.061805343,28.2114,83.5608
Namibia,1.000928595,-21.276,17.219
Myanmar,0.158419849,21.841,96.05
Mozambique,0.170661122,-13.852,38.042
Morocco,0.890643014,31.129,-7.355
Montenegro,3.800694392,42.857,19.096
Mongolia,3.388602279,46.516,102.564
Monaco,,43.7384,7.4243
Moldova,1.961930058,47.524,28.444
"Micronesia, Fed. Sts.",1.22924793,7.531,150.457
Mexico,3.214033982,22.925,-101.68
Mauritius,1.306112647,-20.2529,57.5902
Mauritania,0.589385966,19.413,-10.6528
Marshall Islands,1.508791974,5.961,169.651
Malta,4.225560423,35.9024,14.4137
Mali,0.052705683,18.211,-2.209
Maldives,1.093418948,4.221,73.463
Malaysia,4.009890608,4.416,102.099
Malawi,0.085365291,-13.2731,33.7428
Madagascar,0.112396380,-19.615,46.645
"Macedonia, FYR",5.329528399,41.636,21.676
"Macao SAR, China",2.181890771,22.1404,113.5643
Luxembourg,28.196509288,49.671,6.113
Lithuania,4.317925995,55.342,24.23
Liechtenstein,1.693428026,47.1593,9.547
Libya,7.748688169,27.24,17.571
Liberia,0.430342086,6.51,-9.33
Lesotho,0.936904041,-29.446,28.371
Lebanon,3.145701078,34.161,36.021
Latvia,3.585107302,57.017,25.0173
Lao PDR,0.111926139,19.595,102.538
Kyrgyz Republic,1.182067970,41.741,75.043
Kuwait,28.399393999,29.3169,47.4272
Kosovo,,42.546,20.921
"Korea, Rep.",5.273387253,36.338,128.16
"Korea, Dem. People’s Rep.",3.212726552,,
Kiribati,0.420742523,2.048,-158.59
Kenya,0.285029408,0.806,38.166
Kazakhstan,11.695531680,48.866,69.772
Jordan,2.504110925,30.681,36.279
Japan,7.769669842,35.962,137.855
Jamaica,3.164307767,18.163,-77.477
Italy,6.402798109,44.3713,11.1084
Israel,6.835514585,30.992,34.834
Isle of Man,,54.2362,-4.5149
Ireland,8.003484466,53.214,-7.588
Iraq,2.982146249,33.545,43.278
"Iran, Islamic Rep.",4.271025440,33.408,54.0418
Indonesia,0.858238551,-0.739,114.045
India,0.749811701,22.741,78.236
Iceland,7.348170145,64.826,-18.417
Hungary,6.425461878,47.174,19.618
"Hong Kong SAR, China",3.935858713,22.4114,114.0599
Honduras,0.632986940,14.881,-87.123
Haiti,0.133911070,19.3175,-72.4205
Guyana,1.933146019,5.17,-58.939
Guinea-Bissau,0.146776665,12.191,-14.475
Guinea,0.176760572,10.599,-10.907
Guatemala,0.590920125,15.124,-90.711
Guam,,13.45,144.7579
Grenada,1.084778256,12.111,-61.6867
Greenland,9.624122419,71,-39
Greece,5.741520195,39.787,21.617
Ghana,0.288854142,7.258,-1.062
Germany,10.108757072,51.3819,9.9877
Georgia,1.328030899,42.05,43.576
"Gambia, The",0.187095485,13.499,-14.641
Gabon,3.849058075,-0.406,11.914
French Polynesia,2.347339878,-17.529,-149.53
France,7.010054608,46.656,2.543
Finland,9.641637159,62.716,26.192
Fiji,1.036223889,-17.7941,177.9783
Faroe Islands,10.261842010,62.1252,-7.0174
Ethiopia,0.053594301,8.435,38.786
Estonia,12.481188666,58.777,25.977
Eritrea,0.140847228,15.982,38.02
Equatorial Guinea,1.825336328,1.6342,10.4695
El Salvador,0.639652116,13.848,-89.229
"Egypt, Arab Rep.",1.351750983,26.16,28.742
Ecuador,1.481240160,-1.151,-78.308
Dominican Republic,1.376325707,19.01,-70.1685
Dominica,0.818230731,15.4238,-61.3411
Djibouti,0.713088453,11.41,42.165
Denmark,10.365998279,56.113,9.096
Czech Republic,11.764690444,49.848,15.2812
Cyprus,4.978889931,34.894,32.928
Curacao,,12.2129,-69.0407
Cuba,2.594909692,20.571,-76.456
Croatia,4.609233093,45.754,16.385
Cote d'Ivoire,0.454560015,7.497,-5.336
Costa Rica,1.083988844,10.126,-84.075
"Congo, Rep.",0.444633953,0.509,16.08
"Congo, Dem. Rep.",0.104889904,-1.418,23.607
Comoros,0.137069723,-11.6527,43.3307
Colombia,1.462725601,3.794,-73.606
China,2.257418979,35.1753,99.3877
Chile,2.758790067,-23.176,-69.201
Channel Islands,,49.4632,-2.5827
Chad,0.031805324,15.981,18.781
Central African Republic,0.065872792,7.043,21.424
Cayman Islands,7.873134085,19.3299,-81.1715
Canada,15.738381881,59.2067,-111.1937
Cameroon,0.236200950,4.4,12.131
Cambodia,0.101277807,12.69,104.444
Cabo Verde,0.327748285,15.416,-23.36
Burundi,0.032397458,-3.333,29.749
Burkina Faso,0.060372027,12.673,-1.226
Bulgaria,7.181894097,42.625,24.521
Brunei Darussalam,21.497853977,4.452,114.557
Brazil,1.406963347,-11.694,-48.978
Botswana,1.603744593,-22.126,23.662
Bosnia and Herzegovina,3.336661672,44.342,17.804
Bolivia,0.906154651,-16.71,-65.183
Bhutan,0.331485652,27.5342,90.3002
Bermuda,7.125285052,32.3019,-64.7737
Benin,0.184605045,10.478,2.274
Belize,1.384583805,17.108,-88.744
Belgium,11.372645931,50.6745,4.4588
Belarus,6.194562804,53.3292,27.9492
Barbados,3.143446823,13.1898,-59.559
Bangladesh,0.174803780,24.598,90.1963
Bahrain,19.867874232,26.025,50.5534
"Bahamas, The",12.989496366,24.7032,-78.0455
Azerbaijan,4.257653193,40.46,47.883
Austria,7.200894063,47.65,14.705
Australia,14.364943983,-24.578,133.582
Aruba,21.766263658,12.5176,-69.9818
Armenia,1.230824362,40.56,44.449
Argentina,3.563240367,-33.166,-64.31
Antigua and Barbuda,5.106829196,17.625,-61.786
Angola,0.610376951,-12.836,17.808
Andorra,6.926679571,42.5425,1.5893
American Samoa,,-14.3018,-170.7511
Algeria,2.393786885,28.6045,2.64
Albania,1.657433001,40.654,20.076
Afghanistan,0.139112525,34.023,65.5267
