Region,Measure Names,Country Name,Latitude (generated),Longitude (generated),Measure Values,CO2 (kt),CO2 Per Capita (metric tons)
East Asia & Pacific,CO2 (kt),Vietnam,21.75,105.373,2137142.268,2137142.268,31.139087154
East Asia & Pacific,CO2 (kt),Vanuatu,-15.339,166.89,3428.645,3428.645,25.877113069
East Asia & Pacific,CO2 (kt),Tuvalu,-7.4786,178.6758,,,
East Asia & Pacific,CO2 (kt),Tonga,-21.167,-175.19,3146.286,3146.286,32.791359477
East Asia & Pacific,CO2 (kt),Timor-Leste,-8.856,125.556,1778.495,1778.495,1.773357443
East Asia & Pacific,CO2 (kt),Thailand,15.688,100.845,5370827.546,5370827.546,89.776865165
East Asia & Pacific,CO2 (kt),Solomon Islands,-9.5987,160.1487,6116.556,6116.556,19.566792562
East Asia & Pacific,CO2 (kt),Singapore,1.3389,103.8297,1531878.249,1531878.249,492.886067336
East Asia & Pacific,CO2 (kt),Samoa,-13.6221,-172.439,5309.816,5309.816,31.85481681
East Asia & Pacific,CO2 (kt),Philippines,17.181,121.256,2265065.563,2265065.563,37.335630557
East Asia & Pacific,CO2 (kt),Papua New Guinea,-5.636,142.798,112620.904,112620.904,25.332942809
East Asia & Pacific,CO2 (kt),Palau,7.5288,134.5573,7605.358,7605.358,514.633336474
East Asia & Pacific,CO2 (kt),Northern Mariana Islands,15.1905,145.7471,,,
East Asia & Pacific,CO2 (kt),New Zealand,-42.558,172.377,1188577.376,1188577.376,344.995366748
East Asia & Pacific,CO2 (kt),New Caledonia,-21.02,165.062,100629.814,100629.814,634.736141411
East Asia & Pacific,CO2 (kt),Myanmar,21.841,96.05,323187.378,323187.378,8.237832141
East Asia & Pacific,CO2 (kt),Mongolia,46.516,102.564,356366.394,356366.394,176.207318533
East Asia & Pacific,CO2 (kt),"Micronesia, Fed. Sts.",7.531,150.457,1954.511,1954.511,18.43871895
East Asia & Pacific,CO2 (kt),Marshall Islands,5.961,169.651,1712.489,1712.489,33.193423424
East Asia & Pacific,CO2 (kt),Malaysia,4.416,102.099,3678206.352,3678206.352,168.415405531
East Asia & Pacific,CO2 (kt),"Macao SAR, China",22.1404,113.5643,42713.216,42713.216,113.458320095
East Asia & Pacific,CO2 (kt),Lao PDR,19.595,102.538,25782.677,25782.677,5.820159238
East Asia & Pacific,CO2 (kt),"Korea, Rep.",36.338,128.16,12194824.853,12194824.853,274.21613717
East Asia & Pacific,CO2 (kt),"Korea, Dem. People’s Rep.",,,1062887.284,1062887.284,44.97817173
East Asia & Pacific,CO2 (kt),Kiribati,2.048,-158.59,1507.137,1507.137,21.45786869
East Asia & Pacific,CO2 (kt),Japan,35.962,137.855,48249381.242,48249381.242,404.022831789
East Asia & Pacific,CO2 (kt),Indonesia,-0.739,114.045,8631578.951,8631578.951,44.628404663
East Asia & Pacific,CO2 (kt),"Hong Kong SAR, China",22.4114,114.0599,1195372.327,1195372.327,204.664653087
East Asia & Pacific,CO2 (kt),Guam,13.45,144.7579,,,
East Asia & Pacific,CO2 (kt),French Polynesia,-17.529,-149.53,23883.171,23883.171,122.061673659
East Asia & Pacific,CO2 (kt),Fiji,-17.7941,177.9783,37348.395,37348.395,53.883642219
East Asia & Pacific,CO2 (kt),China,35.1753,99.3877,137248864.702,137248864.702,117.385786932
East Asia & Pacific,CO2 (kt),Cambodia,12.69,104.444,58892.02,58892.02,5.266445969
East Asia & Pacific,CO2 (kt),Brunei Darussalam,4.452,114.557,253378.699,253378.699,1117.88840678
East Asia & Pacific,CO2 (kt),Australia,-24.578,133.582,12424734.752,12424734.752,746.977087096
East Asia & Pacific,CO2 (kt),American Samoa,-14.3018,-170.7511,,,
East Asia & Pacific,CO2 Per Capita (metric tons),Vietnam,21.75,105.373,31.139087154,2137142.268,31.139087154
East Asia & Pacific,CO2 Per Capita (metric tons),Vanuatu,-15.339,166.89,25.877113069,3428.645,25.877113069
East Asia & Pacific,CO2 Per Capita (metric tons),Tuvalu,-7.4786,178.6758,,,
East Asia & Pacific,CO2 Per Capita (metric tons),Tonga,-21.167,-175.19,32.791359477,3146.286,32.791359477
East Asia & Pacific,CO2 Per Capita (metric tons),Timor-Leste,-8.856,125.556,1.773357443,1778.495,1.773357443
East Asia & Pacific,CO2 Per Capita (metric tons),Thailand,15.688,100.845,89.776865165,5370827.546,89.776865165
East Asia & Pacific,CO2 Per Capita (metric tons),Solomon Islands,-9.5987,160.1487,19.566792562,6116.556,19.566792562
East Asia & Pacific,CO2 Per Capita (metric tons),Singapore,1.3389,103.8297,492.886067336,1531878.249,492.886067336
East Asia & Pacific,CO2 Per Capita (metric tons),Samoa,-13.6221,-172.439,31.85481681,5309.816,31.85481681
East Asia & Pacific,CO2 Per Capita (metric tons),Philippines,17.181,121.256,37.335630557,2265065.563,37.335630557
East Asia & Pacific,CO2 Per Capita (metric tons),Papua New Guinea,-5.636,142.798,25.332942809,112620.904,25.332942809
East Asia & Pacific,CO2 Per Capita (metric tons),Palau,7.5288,134.5573,514.633336474,7605.358,514.633336474
East Asia & Pacific,CO2 Per Capita (metric tons),Northern Mariana Islands,15.1905,145.7471,,,
East Asia & Pacific,CO2 Per Capita (metric tons),New Zealand,-42.558,172.377,344.995366748,1188577.376,344.995366748
East Asia & Pacific,CO2 Per Capita (metric tons),New Caledonia,-21.02,165.062,634.736141411,100629.814,634.736141411
East Asia & Pacific,CO2 Per Capita (metric tons),Myanmar,21.841,96.05,8.237832141,323187.378,8.237832141
East Asia & Pacific,CO2 Per Capita (metric tons),Mongolia,46.516,102.564,176.207318533,356366.394,176.207318533
East Asia & Pacific,CO2 Per Capita (metric tons),"Micronesia, Fed. Sts.",7.531,150.457,18.43871895,1954.511,18.43871895
East Asia & Pacific,CO2 Per Capita (metric tons),Marshall Islands,5.961,169.651,33.193423424,1712.489,33.193423424
East Asia & Pacific,CO2 Per Capita (metric tons),Malaysia,4.416,102.099,168.415405531,3678206.352,168.415405531
East Asia & Pacific,CO2 Per Capita (metric tons),"Macao SAR, China",22.1404,113.5643,113.458320095,42713.216,113.458320095
East Asia & Pacific,CO2 Per Capita (metric tons),Lao PDR,19.595,102.538,5.820159238,25782.677,5.820159238
East Asia & Pacific,CO2 Per Capita (metric tons),"Korea, Rep.",36.338,128.16,274.21613717,12194824.853,274.21613717
East Asia & Pacific,CO2 Per Capita (metric tons),"Korea, Dem. People’s Rep.",,,44.97817173,1062887.284,44.97817173
East Asia & Pacific,CO2 Per Capita (metric tons),Kiribati,2.048,-158.59,21.45786869,1507.137,21.45786869
East Asia & Pacific,CO2 Per Capita (metric tons),Japan,35.962,137.855,404.022831789,48249381.242,404.022831789
East Asia & Pacific,CO2 Per Capita (metric tons),Indonesia,-0.739,114.045,44.628404663,8631578.951,44.628404663
East Asia & Pacific,CO2 Per Capita (metric tons),"Hong Kong SAR, China",22.4114,114.0599,204.664653087,1195372.327,204.664653087
East Asia & Pacific,CO2 Per Capita (metric tons),Guam,13.45,144.7579,,,
East Asia & Pacific,CO2 Per Capita (metric tons),French Polynesia,-17.529,-149.53,122.061673659,23883.171,122.061673659
East Asia & Pacific,CO2 Per Capita (metric tons),Fiji,-17.7941,177.9783,53.883642219,37348.395,53.883642219
East Asia & Pacific,CO2 Per Capita (metric tons),China,35.1753,99.3877,117.385786932,137248864.702,117.385786932
East Asia & Pacific,CO2 Per Capita (metric tons),Cambodia,12.69,104.444,5.266445969,58892.02,5.266445969
East Asia & Pacific,CO2 Per Capita (metric tons),Brunei Darussalam,4.452,114.557,1117.88840678,253378.699,1117.88840678
East Asia & Pacific,CO2 Per Capita (metric tons),Australia,-24.578,133.582,746.977087096,12424734.752,746.977087096
East Asia & Pacific,CO2 Per Capita (metric tons),American Samoa,-14.3018,-170.7511,,,
East Asia & Pacific,Count of CO2 Data Cleaned,Vietnam,21.75,105.373,52,2137142.268,31.139087154
East Asia & Pacific,Count of CO2 Data Cleaned,Vanuatu,-15.339,166.89,52,3428.645,25.877113069
East Asia & Pacific,Count of CO2 Data Cleaned,Tuvalu,-7.4786,178.6758,52,,
East Asia & Pacific,Count of CO2 Data Cleaned,Tonga,-21.167,-175.19,52,3146.286,32.791359477
East Asia & Pacific,Count of CO2 Data Cleaned,Timor-Leste,-8.856,125.556,52,1778.495,1.773357443
East Asia & Pacific,Count of CO2 Data Cleaned,Thailand,15.688,100.845,52,5370827.546,89.776865165
East Asia & Pacific,Count of CO2 Data Cleaned,Solomon Islands,-9.5987,160.1487,52,6116.556,19.566792562
East Asia & Pacific,Count of CO2 Data Cleaned,Singapore,1.3389,103.8297,52,1531878.249,492.886067336
East Asia & Pacific,Count of CO2 Data Cleaned,Samoa,-13.6221,-172.439,52,5309.816,31.85481681
East Asia & Pacific,Count of CO2 Data Cleaned,Philippines,17.181,121.256,52,2265065.563,37.335630557
East Asia & Pacific,Count of CO2 Data Cleaned,Papua New Guinea,-5.636,142.798,52,112620.904,25.332942809
East Asia & Pacific,Count of CO2 Data Cleaned,Palau,7.5288,134.5573,52,7605.358,514.633336474
East Asia & Pacific,Count of CO2 Data Cleaned,Northern Mariana Islands,15.1905,145.7471,52,,
East Asia & Pacific,Count of CO2 Data Cleaned,New Zealand,-42.558,172.377,52,1188577.376,344.995366748
East Asia & Pacific,Count of CO2 Data Cleaned,New Caledonia,-21.02,165.062,52,100629.814,634.736141411
East Asia & Pacific,Count of CO2 Data Cleaned,Myanmar,21.841,96.05,52,323187.378,8.237832141
East Asia & Pacific,Count of CO2 Data Cleaned,Mongolia,46.516,102.564,52,356366.394,176.207318533
East Asia & Pacific,Count of CO2 Data Cleaned,"Micronesia, Fed. Sts.",7.531,150.457,52,1954.511,18.43871895
East Asia & Pacific,Count of CO2 Data Cleaned,Marshall Islands,5.961,169.651,52,1712.489,33.193423424
East Asia & Pacific,Count of CO2 Data Cleaned,Malaysia,4.416,102.099,52,3678206.352,168.415405531
East Asia & Pacific,Count of CO2 Data Cleaned,"Macao SAR, China",22.1404,113.5643,52,42713.216,113.458320095
East Asia & Pacific,Count of CO2 Data Cleaned,Lao PDR,19.595,102.538,52,25782.677,5.820159238
East Asia & Pacific,Count of CO2 Data Cleaned,"Korea, Rep.",36.338,128.16,52,12194824.853,274.21613717
East Asia & Pacific,Count of CO2 Data Cleaned,"Korea, Dem. People’s Rep.",,,52,1062887.284,44.97817173
East Asia & Pacific,Count of CO2 Data Cleaned,Kiribati,2.048,-158.59,52,1507.137,21.45786869
East Asia & Pacific,Count of CO2 Data Cleaned,Japan,35.962,137.855,52,48249381.242,404.022831789
East Asia & Pacific,Count of CO2 Data Cleaned,Indonesia,-0.739,114.045,52,8631578.951,44.628404663
East Asia & Pacific,Count of CO2 Data Cleaned,"Hong Kong SAR, China",22.4114,114.0599,52,1195372.327,204.664653087
East Asia & Pacific,Count of CO2 Data Cleaned,Guam,13.45,144.7579,52,,
East Asia & Pacific,Count of CO2 Data Cleaned,French Polynesia,-17.529,-149.53,52,23883.171,122.061673659
East Asia & Pacific,Count of CO2 Data Cleaned,Fiji,-17.7941,177.9783,52,37348.395,53.883642219
East Asia & Pacific,Count of CO2 Data Cleaned,China,35.1753,99.3877,52,137248864.702,117.385786932
East Asia & Pacific,Count of CO2 Data Cleaned,Cambodia,12.69,104.444,52,58892.02,5.266445969
